pff_PLAYID,pff_GAMEID,pff_EXPECTED_POINTS_ADDED,target_name,offense,week,down,quarter,distance,game_clock,completion,yards
6309446,28740,0.26,Dominic Overby,IAST,0,2,1,9,7:56,1,6
6309449,28740,-2.624,Brett Eskildsen,IAST,0,3,1,3,7:17,0,0
6309456,28740,-1.404,Terrence Enos Jr.,KSST,0,1,1,10,7:05,1,-3
6309478,28740,1.382,Gabe Burkle,IAST,0,2,1,9,4:38,1,10
6309480,28740,0.735,Brett Eskildsen,IAST,0,1,1,10,4:11,1,15
6309483,28740,3.081,Dominic Overby,IAST,0,1,1,10,3:32,1,23
6309493,28740,-0.424,Will Swanson,KSST,0,1,1,15,2:42,0,0
6309532,28740,-1.104,Gabe Burkle,IAST,0,2,2,9,14:10,0,0
6309545,28740,1.406,Garrett Oakley,KSST,0,2,2,13,13:21,1,12
6309568,28740,-0.873,Benjamin Brahmer,IAST,0,1,2,10,11:58,0,0
6309576,28740,-0.91,Gabe Burkle,IAST,0,2,2,10,11:54,0,0
6309584,28740,-0.135,Carson Hansen,IAST,0,3,2,10,11:47,1,4
6309609,28740,-1.137,Jerand Bradley,KSST,0,1,2,10,10:59,1,-2
6309641,28740,2.804,Garrett Oakley,KSST,0,3,2,8,9:34,1,20
6309716,28740,-0.95,Dominic Overby,IAST,0,1,2,10,8:09,0,0
6309749,28740,-1.184,Cooper Alexander,IAST,0,2,2,1,7:17,0,0
6309923,28740,2.033,Benjamin Brahmer,IAST,0,2,2,9,5:30,1,20
6309930,28740,-0.908,Xavier Townsend,IAST,0,2,2,9,4:29,0,0
6309932,28740,-1.485,Dominic Overby,IAST,0,3,2,9,4:22,0,0
6309945,28740,-1.157,Jaron Tibbs,KSST,0,2,2,6,3:39,0,0
6309997,28740,2.162,Joe Jackson,KSST,0,3,2,6,3:32,1,7
6310012,28740,2.542,Jayce Brown,KSST,0,3,2,8,1:53,1,15
6310016,28740,-0.05,Jaron Tibbs,KSST,0,1,2,10,1:36,1,4
6310019,28740,0.494,Jaron Tibbs,KSST,0,2,2,6,1:20,1,7
6310024,28740,-0.917,Jayce Brown,KSST,0,2,2,22,1:00,0,0
6310030,28740,-0.981,DeVon Rice,KSST,0,3,2,22,0:54,1,0
6310332,28740,-1.855,Will Anciaux,KSST,0,3,3,2,14:12,1,1
6310349,28740,-0.909,Chase Sowell,IAST,0,1,3,10,13:25,0,0
6310436,28740,0.918,Jerand Bradley,KSST,0,1,3,10,10:38,1,12
6310439,28740,1.208,Jayce Brown,KSST,0,1,3,10,10:16,1,9
6310448,28740,0.259,Brayden Loftin,KSST,0,2,3,1,9:43,1,18
6310472,28740,-1.098,Garrett Oakley,KSST,0,3,3,13,7:51,1,4
6310476,28740,-2.347,Jerand Bradley,KSST,0,4,3,9,7:14,0,0
6310542,28740,1.59,Eli Green,IAST,0,2,3,8,6:40,1,10
6310637,28740,-0.829,Gabe Burkle,IAST,0,2,3,7,1:20,0,0
6310646,28740,4.244,Brett Eskildsen,IAST,0,3,3,7,1:13,1,24
6310687,28740,2.193,Jayce Brown,KSST,0,1,3,20,0:40,1,17
6310693,28740,1.633,Garrett Oakley,KSST,0,2,3,3,0:09,1,24
6310718,28740,-0.687,Jayce Brown,KSST,0,1,4,10,15:00,0,0
6310725,28740,0.421,Jaron Tibbs,KSST,0,2,4,10,14:54,1,7
6310733,28740,3.466,Jayce Brown,KSST,0,3,4,3,14:16,1,37
6310818,28740,0.56,Eli Green,IAST,0,1,4,10,14:03,1,7
6310823,28740,-0.858,Chase Sowell,IAST,0,1,4,10,13:03,0,0
6310844,28740,-1.377,Chase Sowell,IAST,0,3,4,5,10:13,0,0
6310879,28740,-0.968,Jayce Brown,KSST,0,1,4,10,9:58,0,0
6310908,28740,1.499,Jaron Tibbs,KSST,0,2,4,20,9:23,1,17
6310940,28740,-1.187,Garrett Oakley,KSST,0,3,4,3,9:06,1,2
6310993,28740,1.636,Benjamin Brahmer,IAST,0,2,4,8,7:45,1,21
6311034,28740,4.514,Jerand Bradley,KSST,0,1,4,10,6:32,1,65
6311077,28740,-0.162,Gabe Burkle,IAST,0,1,4,10,6:13,1,4
6311102,28740,0.951,Brett Eskildsen,IAST,0,2,4,8,4:14,1,7
6311120,28740,0.985,Gabe Burkle,IAST,0,3,4,1,3:31,1,17
6311226,28740,3.761,Carson Hansen,IAST,0,4,4,3,2:25,1,15
6312641,28741,1.128,Emmanuel Henderson Jr.,KSUN,0,1,1,10,14:55,1,13
6312645,28741,-0.943,DeShawn Hanika,KSUN,0,1,1,10,14:22,0,0
6312653,28741,0.064,Daniel Hishaw Jr.,KSUN,0,1,1,10,13:12,1,5
6312673,28741,2.341,Cam Pickett,KSUN,0,1,1,10,11:13,1,21
6312965,28741,1.278,Cam Pickett,KSUN,0,2,1,7,6:15,1,15
6313015,28741,0.74,Emmanuel Henderson Jr.,KSUN,0,1,1,25,5:11,1,10
6313042,28741,1.619,Emmanuel Henderson Jr.,KSUN,0,2,1,15,4:44,0,0
6313305,28741,1.924,Levi Wentz,KSUN,0,2,2,7,13:16,0,0
6313312,28741,-0.98,Emmanuel Henderson Jr.,KSUN,0,2,2,12,12:32,1,1
6313341,28741,0.936,Leshon Williams,KSUN,0,1,2,10,9:23,1,16
6313347,28741,0.539,Cam Pickett,KSUN,0,1,2,10,8:44,1,13
6313352,28741,-0.101,Cam Pickett,KSUN,0,2,2,3,7:59,1,10
6313356,28741,2.161,Cam Pickett,KSUN,0,1,2,10,7:37,1,13
6313409,28741,1.28,DeShawn Hanika,KSUN,0,2,2,8,3:53,1,8
6313431,28741,1.005,Levi Wentz,KSUN,0,2,2,5,2:29,1,15
6314057,28741,-1.591,Cam Pickett,KSUN,0,3,2,7,1:48,1,5
6314053,28741,-0.941,Carson Bruhn,KSUN,0,1,3,10,9:17,1,3
6314188,28741,2.381,Keaton Kubecka,KSUN,0,2,3,8,7:52,1,12
6314409,28741,0.47,DeShawn Hanika,KSUN,0,2,3,14,4:00,1,9
6314414,28741,1.362,Boden Groen,KSUN,0,4,3,2,2:32,1,3
6314571,28741,-0.85,Harry Stewart III,KSUN,0,3,4,10,11:08,1,4
6317476,28746,1.613,Cooper Barkate,NCDU,1,1,1,10,13:19,1,30
6317484,28746,0.003,Jeremiah Hasley,NCDU,1,2,1,10,12:31,1,5
6317490,28746,-2.05,Cooper Barkate,NCDU,1,3,1,5,11:56,0,0
6317585,28746,-1.17,Cooper Barkate,NCDU,1,2,1,6,9:28,0,0
6317592,28746,-1.38,Sahmir Hagans,NCDU,1,3,1,6,9:22,1,2
6317910,28746,0.907,Sahmir Hagans,NCDU,1,1,1,10,6:00,1,10
6317944,28746,-0.979,Que'Sean Brown,NCDU,1,1,1,10,5:40,0,0
6317950,28746,-1.141,Que'Sean Brown,NCDU,1,2,1,10,5:36,1,0
6318009,28746,4.146,Que'Sean Brown,NCDU,1,3,1,10,4:47,1,25
6318016,28746,-0.845,Cooper Barkate,NCDU,1,1,1,10,4:14,0,0
6318045,28746,0.674,Andrel Anthony,NCDU,1,2,1,10,4:07,1,8
6318082,28746,0.824,Jayden Moore,NCDU,1,1,1,10,3:02,1,8
6318088,28746,0.135,Jayden Moore,NCDU,1,2,1,2,2:43,1,15
6318132,28746,-0.508,Peyton Jones,NCDU,1,1,1,10,2:25,0,0
6318187,28746,-1.559,Sahmir Hagans,NCDU,1,3,1,8,1:41,0,0
6319017,28746,1.486,Nate Sheppard,NCDU,1,1,2,10,9:50,1,20
6319048,28746,1.066,Sahmir Hagans,NCDU,1,1,2,10,9:13,1,21
6319503,28746,-0.025,Anderson Castle,NCDU,1,1,2,10,3:37,1,5
6319525,28746,2.853,Que'Sean Brown,NCDU,1,2,2,5,3:04,1,44
6319564,28746,0.855,Que'Sean Brown,NCDU,1,2,2,10,2:16,1,14
6319910,28746,-0.592,Anderson Castle,NCDU,1,2,2,18,0:29,1,3
6319914,28746,0,Que'Sean Brown,NCDU,1,3,2,15,0:10,1,6
6320673,28746,3.653,Cooper Barkate,NCDU,1,3,3,12,13:50,1,17
6320684,28746,2.375,Cooper Barkate,NCDU,1,1,3,10,13:29,1,46
6320688,28746,0.03,Que'Sean Brown,NCDU,1,1,3,10,13:04,1,4
6320715,28746,0.536,Cooper Barkate,NCDU,1,2,3,6,12:23,1,10
6320780,28746,2.963,Sahmir Hagans,NCDU,1,2,3,15,11:06,1,15
6321137,28746,-1.121,Jayden Moore,NCDU,1,1,3,10,9:22,1,-1
6321160,28746,2.43,Andrel Anthony,NCDU,1,2,3,11,8:56,1,16
6321190,28746,1.122,Landen King,NCDU,1,1,3,10,7:27,1,19
6321216,28746,1.115,Cooper Barkate,NCDU,1,2,3,9,6:29,1,14
6321236,28746,2.512,Andrel Anthony,NCDU,1,1,3,10,5:54,1,27
6322304,28746,2.032,Sahmir Hagans,NCDU,1,2,4,6,11:35,1,6
6318194,28747,-0.845,Koby Young,TXHO,1,1,1,10,13:45,0,0
6318227,28747,-1.305,Tanner Koziol,TXHO,1,3,1,8,13:01,1,4
6318538,28747,-1.897,Harvey Broussard III,TXHO,1,3,1,2,9:13,1,1
6318820,28747,-0.542,Koby Young,TXHO,1,1,1,10,7:08,0,0
6318940,28747,2.256,Tanner Koziol,TXHO,1,2,1,7,5:17,1,11
6319238,28747,-1.732,Dean Connors,TXHO,1,1,1,10,3:47,1,-6
6319272,28747,2.561,Amare Thomas,TXHO,1,3,1,8,2:43,1,12
6319294,28747,0.281,Dean Connors,TXHO,1,2,1,11,1:49,1,7
6319741,28747,1.035,Mekhi Mews,TXHO,1,2,2,10,10:51,1,11
6319775,28747,-1.28,Mekhi Mews,TXHO,1,2,2,9,9:21,0,0
6319818,28747,-0.781,Mekhi Mews,TXHO,1,3,2,20,8:34,0,0
6320289,28747,3.243,Koby Young,TXHO,1,3,2,7,5:54,0,0
6320325,28747,3.105,Amare Thomas,TXHO,1,3,2,10,4:38,1,12
6320334,28747,-0.895,Koby Young,TXHO,1,1,2,10,4:16,0,0
6320381,28747,2.964,J'Marion Burnette,TXHO,1,1,2,10,3:17,1,39
6320746,28747,0.129,Tanner Koziol,TXHO,1,1,2,10,1:32,1,5
6320760,28747,0.315,Tanner Koziol,TXHO,1,2,2,5,1:09,1,6
6320774,28747,-0.551,Stephon Johnson,TXHO,1,1,2,10,1:05,0,0
6321862,28747,2.905,Tanner Koziol,TXHO,1,3,3,9,13:53,1,11
6321971,28747,1.521,Tanner Koziol,TXHO,1,2,3,11,10:30,1,23
6322163,28747,3.612,Amare Thomas,TXHO,1,3,3,12,8:43,1,20
6322479,28747,-0.936,Stacy Sneed,TXHO,1,1,3,10,7:01,0,0
6322521,28747,-0.923,Tanner Koziol,TXHO,1,3,3,9,6:22,1,3
6322754,28747,-1.308,Amare Thomas,TXHO,1,3,3,9,1:30,0,0
6322973,28747,-0.719,Jayden York,TXHO,1,2,4,7,14:27,0,0
6323011,28747,-1.724,Stephon Johnson,TXHO,1,3,4,7,14:21,0,0
6323154,28747,-0.925,Koby Young,TXHO,1,1,4,10,12:03,0,0
6323393,28747,-0.687,Luke McGary,TXHO,1,1,4,10,6:05,0,0
6323424,28747,-1.858,Mekhi Mews,TXHO,1,2,4,15,5:16,1,-7
6318331,28749,1.227,Koi Perich,MNUN,1,2,1,6,12:20,1,12
6318418,28749,-1.879,Jalen Smith,MNUN,1,3,1,7,10:19,0,0
6318804,28749,1.159,Darius Taylor,MNUN,1,1,1,10,8:56,1,9
6318919,28749,-0.468,Jalen Smith,MNUN,1,1,1,10,6:25,0,0
6319001,28749,0.808,Jameson Geers,MNUN,1,3,1,8,5:38,1,7
6319438,28749,1.26,Jameson Geers,MNUN,1,3,1,4,2:06,1,7
6319454,28749,0.511,Jameson Geers,MNUN,1,1,1,10,1:20,1,15
6319697,28749,1.959,Jameson Geers,MNUN,1,1,2,9,13:59,1,9
6320192,28749,-0.973,Darius Taylor,MNUN,1,1,2,10,12:25,0,0
6320237,28749,3.367,Le'Meke Brockington,MNUN,1,3,2,10,11:39,1,15
6320255,28749,1.625,Javon Tracy,MNUN,1,1,2,10,11:03,1,27
6320343,28749,-8.578,Jameson Geers,MNUN,1,1,2,10,10:01,0,0
6320598,28749,-1.124,Javon Tracy,MNUN,1,2,2,17,6:34,0,0
6320640,28749,-0.667,Jalen Smith,MNUN,1,3,2,17,6:27,0,0
6321171,28749,0.812,Logan Loya,MNUN,1,1,2,10,1:17,1,8
6321179,28749,-1.132,Jameson Geers,MNUN,1,2,2,2,1:00,0,0
6321199,28749,-0.778,Javon Tracy,MNUN,1,1,2,10,0:49,0,0
6321221,28749,1.556,Le'Meke Brockington,MNUN,1,2,2,10,0:43,1,15
6321228,28749,0.527,Jameson Geers,MNUN,1,1,2,10,0:35,0,0
6321307,28749,-0.492,Le'Meke Brockington,MNUN,1,1,2,10,0:30,0,0
6321348,28749,1.105,Javon Tracy,MNUN,1,2,2,10,0:25,1,9
6321424,28749,-0.442,Jalen Smith,MNUN,1,1,2,9,0:15,0,0
6322196,28749,2.103,Javon Tracy,MNUN,1,1,3,10,14:57,1,35
6322200,28749,0.345,Logan Loya,MNUN,1,1,3,10,14:22,1,10
6322242,28749,0.892,Darius Taylor,MNUN,1,2,3,11,13:04,1,12
6322282,28749,-0.58,Frank Bierman,MNUN,1,2,3,7,11:53,0,0
6322306,28749,-1.523,Jalen Smith,MNUN,1,3,3,7,11:47,0,0
6322773,28749,1.186,Drew Biber,MNUN,1,1,3,10,6:48,1,9
6322795,28749,-0.778,Jameson Geers,MNUN,1,1,3,10,5:34,0,0
6322833,28749,-2.104,Jalen Smith,MNUN,1,3,3,5,4:45,0,0
6323040,28749,-0.778,Jameson Geers,MNUN,1,1,3,10,2:16,0,0
6323073,28749,2.092,Jalen Smith,MNUN,1,3,3,6,1:26,1,16
6323161,28749,0.638,Darius Taylor,MNUN,1,2,4,8,15:00,1,8
6323253,28749,-1.794,Jalen Smith,MNUN,1,3,4,5,11:40,0,0
6323410,28749,4.154,Jalen Smith,MNUN,1,1,4,10,11:01,1,60
6323723,28749,1.322,Darius Taylor,MNUN,1,3,4,4,4:30,1,7
6317505,28750,4.026,Marquis Johnson,MOUN,1,2,1,8,11:14,1,49
6317923,28750,0.173,Jordon Harris,MOUN,1,2,1,10,6:17,1,7
6317941,28750,1.816,Kevin Coleman Jr.,MOUN,1,3,1,3,5:45,1,5
6318093,28750,1.122,Kevin Coleman Jr.,MOUN,1,1,1,10,4:29,1,20
6318097,28750,-0.637,Kevin Coleman Jr.,MOUN,1,1,1,10,4:05,1,0
6318102,28750,-0.893,Jamal Roberts,MOUN,1,2,1,10,3:21,0,0
6318341,28750,-0.014,Tavorus Jones,MOUN,1,1,1,10,0:38,1,5
6318507,28750,1.676,Kevin Coleman Jr.,MOUN,1,3,2,3,15:00,1,6
6318516,28750,-1.658,Marquis Johnson,MOUN,1,1,2,10,14:41,1,12
6318523,28750,0.659,Donovan Olugbode,MOUN,1,1,2,20,14:12,1,9
6318541,28750,1.247,Donovan Olugbode,MOUN,1,2,2,11,13:41,1,10
6318585,28750,-0.656,Brett Norfleet,MOUN,1,1,2,10,12:48,1,0
6319802,28750,0.351,Jamal Roberts,MOUN,1,3,2,10,12:01,1,8
6318958,28750,-1.607,Kevin Coleman Jr.,MOUN,1,3,2,17,9:43,0,0
6319091,28750,-0.313,Kevin Coleman Jr.,MOUN,1,1,2,10,7:41,1,2
6319686,28750,0.995,Josh Manning,MOUN,1,1,2,10,1:54,1,12
6319701,28750,0.919,Josh Manning,MOUN,1,1,2,10,1:49,1,13
6319716,28750,0.902,Josh Manning,MOUN,1,1,2,10,1:32,1,17
6319736,28750,0.806,Brett Norfleet,MOUN,1,1,2,10,1:19,1,8
6319756,28750,-0.694,Brett Norfleet,MOUN,1,2,2,2,1:12,0,0
6320129,28750,1.484,Marquis Johnson,MOUN,1,1,2,15,0:56,1,13
6320135,28750,1.091,Marquis Johnson,MOUN,1,2,2,2,0:48,1,17
6320157,28750,1.395,Brett Norfleet,MOUN,1,3,2,1,0:13,1,1
6321030,28750,1.18,Kevin Coleman Jr.,MOUN,1,2,3,5,11:59,1,15
6321523,28750,0.998,Marquis Johnson,MOUN,1,1,3,10,8:03,1,11
6321534,28750,-1.267,Marquis Johnson,MOUN,1,2,3,1,6:48,0,0
6321612,28750,0.636,Josh Manning,MOUN,1,1,3,10,6:10,1,11
6321625,28750,2.842,Marquis Johnson,MOUN,1,1,3,10,5:27,1,44
6322272,28750,1.19,Donovan Olugbode,MOUN,1,1,4,10,12:56,1,9
6322339,28750,3.655,Jude James,MOUN,1,2,4,10,11:16,1,40
6322634,28750,2.126,Donovan Olugbode,MOUN,1,3,4,8,8:14,1,9
6316575,28751,1.081,Keenan Jackson,NCST,1,2,1,4,14:32,1,11
6316580,28751,-0.827,Wesley Grimes,NCST,1,1,1,10,13:58,0,0
6316683,28751,-0.003,Justin Joly,NCST,1,2,1,3,11:22,1,5
6316704,28751,1.155,Terrell Anderson,NCST,1,2,1,11,10:25,1,15
6316737,28751,-0.532,Noah Rogers,NCST,1,1,1,7,9:28,0,0
6316876,28751,-0.159,Hollywood Smothers,NCST,1,3,1,22,9:17,1,11
6317028,28751,-0.308,Justin Joly,NCST,1,2,1,11,7:00,1,5
6317046,28751,2.395,Noah Rogers,NCST,1,3,1,6,6:28,1,9
6317078,28751,-0.941,Terrell Anderson,NCST,1,3,1,13,4:39,1,2
6317249,28751,0.644,Teddy Hoffmann,NCST,1,1,1,10,2:04,1,10
6317274,28751,-0.605,Teddy Hoffmann,NCST,1,1,1,10,1:30,1,1
6317284,28751,-0.026,Teddy Hoffmann,NCST,1,2,1,9,0:58,1,5
6317303,28751,1.944,Teddy Hoffmann,NCST,1,3,1,4,0:20,1,27
6317407,28751,0.367,Hollywood Smothers,NCST,1,1,2,10,15:00,1,6
6317604,28751,-0.727,Terrell Anderson,NCST,1,1,2,10,11:45,1,0
6317633,28751,4.137,Wesley Grimes,NCST,1,2,2,10,11:10,1,48
6317908,28751,-0.964,Hollywood Smothers,NCST,1,3,2,12,9:07,1,3
6318313,28751,-0.817,Teddy Hoffmann,NCST,1,1,2,10,4:54,0,0
6318358,28751,-1.508,Terrell Anderson,NCST,1,3,2,9,4:16,0,0
6318762,28751,2.193,Wesley Grimes,NCST,1,2,2,11,2:00,1,15
6318895,28751,-0.446,Justin Joly,NCST,1,1,2,10,0:38,1,2
6318900,28751,-5.852,Noah Rogers,NCST,1,2,2,8,0:33,0,0
6320429,28751,0.995,Wesley Grimes,NCST,1,1,3,10,8:36,1,12
6320485,28751,-0.059,Justin Joly,NCST,1,2,3,12,6:48,1,6
6320532,28751,-0.637,Keenan Jackson,NCST,1,1,3,10,5:32,0,0
6320561,28751,1.119,Justin Joly,NCST,1,2,3,10,5:24,1,9
6320573,28751,0.281,Justin Joly,NCST,1,3,3,1,4:43,0,0
6320610,28751,-0.603,Terrell Anderson,NCST,1,2,3,8,3:59,0,0
6320634,28751,2.379,Keenan Jackson,NCST,1,3,3,8,3:55,0,0
6321418,28751,0.795,Noah Rogers,NCST,1,1,4,10,14:56,1,10
6321456,28751,2.223,Wesley Grimes,NCST,1,1,4,10,14:46,1,46
6321547,28751,0.721,Hollywood Smothers,NCST,1,1,4,20,13:55,1,10
6321555,28751,-0.669,Terrell Anderson,NCST,1,2,4,10,13:20,0,0
6322053,28751,2.858,Teddy Hoffmann,NCST,1,1,4,10,8:32,1,50
6317285,28752,2.263,Christian Fitzpatrick,OKST,1,3,1,5,14:04,0,0
6317306,28752,1.52,Terrill Davis,OKST,1,1,1,10,13:58,1,34
6317343,28752,-0.367,Christian Fitzpatrick,OKST,1,1,1,10,13:44,1,1
6317368,28752,1.173,Gavin Freeman,OKST,1,3,1,6,12:24,1,10
6317375,28752,-0.487,Terrill Davis,OKST,1,1,1,8,12:07,0,0
6317954,28752,2.729,Shamar Rigby,OKST,1,1,1,10,6:59,1,41
6318005,28752,-0.647,Cam Abshire,OKST,1,2,1,6,5:52,0,0
6318052,28752,2.424,Gavin Freeman,OKST,1,2,1,9,4:05,1,10
6318352,28752,-0.979,Terrill Davis,OKST,1,1,1,10,2:10,0,0
6318364,28752,-1.136,Gavin Freeman,OKST,1,2,1,10,2:02,0,0
6318384,28752,-0.561,Terrill Davis,OKST,1,3,1,10,1:58,0,0
6318731,28752,-0.569,Sam Jackson V,OKST,1,3,2,11,13:42,1,8
6319106,28752,-1.412,Freddie Brock IV,OKST,1,3,2,7,9:30,1,5
6319393,28752,0.51,Gavin Freeman,OKST,1,1,2,10,6:46,1,7
6319447,28752,0.652,Gavin Freeman,OKST,1,2,2,5,5:21,1,7
6319453,28752,-0.707,Quinton Stewart,OKST,1,1,2,10,5:02,0,0
6319473,28752,-0.607,Cam Abshire,OKST,1,1,2,10,4:36,1,0
6319492,28752,0.74,Cam Abshire,OKST,1,2,2,10,4:06,1,8
6319495,28752,0.413,Shamar Rigby,OKST,1,3,2,2,3:49,1,9
6319568,28752,-0.737,Da'Wain Lofton,OKST,1,2,2,16,2:58,0,0
6319599,28752,-1.049,Sesi Vailahi,OKST,1,3,2,16,2:54,0,0
6321356,28752,3.897,Terrill Davis,OKST,1,3,3,8,7:36,1,41
6322050,28752,-0.97,Christian Fitzpatrick,OKST,1,1,4,10,14:07,0,0
6322118,28752,0.918,Gavin Freeman,OKST,1,1,4,10,13:04,1,12
6322226,28752,-1.11,Terrill Davis,OKST,1,2,4,20,12:05,0,0
6322240,28752,-0.555,Sam Jackson V,OKST,1,3,4,20,11:58,0,0
6322463,28752,0.287,Sam Jackson V,OKST,1,1,4,10,9:37,1,6
6322482,28752,1.657,Da'Wain Lofton,OKST,1,3,4,4,8:47,1,10
6322499,28752,-0.666,Da'Wain Lofton,OKST,1,1,4,10,8:28,0,0
6322545,28752,1.278,Will Monney,OKST,1,3,4,5,7:47,1,9
6322613,28752,1.095,Sesi Vailahi,OKST,1,3,4,5,6:12,1,14
6316045,28753,0.943,Ian Strong,NJRU,1,1,1,10,15:00,1,12
6316053,28753,-0.748,DT Sheffield,NJRU,1,1,1,10,13:15,0,0
6316069,28753,0.495,Ian Strong,NJRU,1,3,1,15,12:22,1,12
6316086,28753,2.794,DT Sheffield,NJRU,1,4,1,3,11:42,1,10
6316096,28753,0.352,DT Sheffield,NJRU,1,1,1,10,11:13,1,11
6316268,28753,0.608,KJ Duff,NJRU,1,1,1,10,4:53,1,10
6316272,28753,-0.727,Kenny Fletcher Jr.,NJRU,1,1,1,10,4:12,0,0
6316283,28753,0.142,KJ Duff,NJRU,1,2,1,10,4:07,1,6
6316304,28753,0.574,KJ Duff,NJRU,1,1,1,10,2:02,1,19
6316440,28753,3.76,DT Sheffield,NJRU,1,1,2,10,13:59,1,54
6316670,28753,0.47,Ian Strong,NJRU,1,1,2,10,7:27,1,14
6316703,28753,1.454,KJ Duff,NJRU,1,1,2,6,5:23,1,6
6318924,28753,1.072,KJ Duff,NJRU,1,1,3,10,11:10,1,13
6318933,28753,0.966,Ian Strong,NJRU,1,1,3,10,10:33,1,14
6318977,28753,-0.512,Ian Strong,NJRU,1,3,3,15,8:44,1,9
6319181,28753,1.458,Ian Strong,NJRU,1,1,3,10,1:33,1,26
6319640,28753,0.673,Kenny Fletcher Jr.,NJRU,1,3,4,5,13:38,1,6
6319658,28753,-1.531,DT Sheffield,NJRU,1,3,4,7,11:17,0,0
6319940,28753,1.951,Ian Strong,NJRU,1,2,4,8,6:01,1,13
6319945,28753,0.497,Colin Weber,NJRU,1,1,4,10,5:28,1,7
6320242,28753,2.696,DT Sheffield,NJRU,1,4,4,7,1:54,1,10
6320642,28758,1.934,Vinny Anthony II,WIUN,1,2,1,10,12:59,1,11
6321028,28758,0.994,Jayden Ballard,WIUN,1,1,1,10,8:55,1,11
6321059,28758,-0.075,Dilin Jones,WIUN,1,1,1,10,8:21,1,5
6321138,28758,2.15,Chris Brooks Jr.,WIUN,1,2,1,10,6:25,1,17
6321219,28758,-0.904,Trech Kekahuna,WIUN,1,2,1,3,3:50,0,0
6321294,28758,-0.719,Lance Mason,WIUN,1,2,1,7,1:53,0,0
6321332,28758,-1.724,Joseph Griffin Jr.,WIUN,1,3,1,7,1:49,0,0
6321815,28758,0.917,Jayden Ballard,WIUN,1,1,2,10,12:26,1,11
6321835,28758,-0.918,Vinny Anthony II,WIUN,1,1,2,10,11:54,0,0
6321864,28758,1.851,Trech Kekahuna,WIUN,1,2,2,10,11:49,1,13
6321881,28758,-0.807,Vinny Anthony II,WIUN,1,1,2,10,11:15,0,0
6321929,28758,-0.687,Vinny Anthony II,WIUN,1,1,2,10,10:00,0,0
6322013,28758,-0.198,Trech Kekahuna,WIUN,1,3,2,7,9:26,1,5
6322519,28758,-0.789,Dilin Jones,WIUN,1,1,2,10,2:35,1,1
6323291,28758,1.186,Chris Brooks Jr.,WIUN,1,1,3,10,15:00,1,9
6323317,28758,1.506,Vinny Anthony II,WIUN,1,1,3,10,13:22,1,31
6323319,28758,0.268,Tyrell Henry,WIUN,1,1,3,10,12:45,1,10
6323390,28758,-3.945,Trech Kekahuna,WIUN,1,4,3,3,10:05,0,0
