pff_PLAYID,pff_GAMEID,pff_EXPECTED_POINTS_ADDED,target_name,offense,week,down,quarter,distance,game_clock,completion,yards,position,origin,destination
6314057,28741,-1.591,Cam Pickett,KSUN,0,3,2,7,01:48,1,5,WR,Ball State,Kansas
6314414,28741,1.362,Boden Groen,KSUN,0,4,3,2,02:32,1,3,TE,Rice,Kansas
6317476,28746,1.613,Cooper Barkate,NCDU,1,1,1,10,13:19,1,30,WR,Harvard,Duke
6317490,28746,-2.05,Cooper Barkate,NCDU,1,3,1,5,11:56,0,0,WR,Harvard,Duke
6317585,28746,-1.17,Cooper Barkate,NCDU,1,2,1,6,09:28,0,0,WR,Harvard,Duke
6318016,28746,-0.845,Cooper Barkate,NCDU,1,1,1,10,04:14,0,0,WR,Harvard,Duke
6318045,28746,0.674,Andrel Anthony,NCDU,1,2,1,10,04:07,1,8,WR,Oklahoma,Duke
6320673,28746,3.653,Cooper Barkate,NCDU,1,3,3,12,13:50,1,17,WR,Harvard,Duke
6320684,28746,2.375,Cooper Barkate,NCDU,1,1,3,10,13:29,1,46,WR,Harvard,Duke
6320715,28746,0.536,Cooper Barkate,NCDU,1,2,3,6,12:23,1,10,WR,Harvard,Duke
6321160,28746,2.43,Andrel Anthony,NCDU,1,2,3,11,08:56,1,16,WR,Oklahoma,Duke
6321190,28746,1.122,Landen King,NCDU,1,1,3,10,07:27,1,19,TE,Utah,Duke
6321216,28746,1.115,Cooper Barkate,NCDU,1,2,3,9,06:29,1,14,WR,Harvard,Duke
6321236,28746,2.512,Andrel Anthony,NCDU,1,1,3,10,05:54,1,27,WR,Oklahoma,Duke
6318227,28747,-1.305,Tanner Koziol,TXHO,1,3,1,8,13:01,1,4,TE,Wisconsin,Houston
6318538,28747,-1.897,Harvey Broussard III,TXHO,1,3,1,2,09:13,1,1,WR,Louisiana,Houston
6318940,28747,2.256,Tanner Koziol,TXHO,1,2,1,7,05:17,1,11,TE,Wisconsin,Houston
6319272,28747,2.561,Amare Thomas,TXHO,1,3,1,8,02:43,1,12,WR,UAB,Houston
6320325,28747,3.105,Amare Thomas,TXHO,1,3,2,10,04:38,1,12,WR,UAB,Houston
6320746,28747,0.129,Tanner Koziol,TXHO,1,1,2,10,01:32,1,5,TE,Wisconsin,Houston
6320760,28747,0.315,Tanner Koziol,TXHO,1,2,2,5,01:09,1,6,TE,Wisconsin,Houston
6321862,28747,2.905,Tanner Koziol,TXHO,1,3,3,9,13:53,1,11,TE,Wisconsin,Houston
6321971,28747,1.521,Tanner Koziol,TXHO,1,2,3,11,10:30,1,23,TE,Wisconsin,Houston
6322163,28747,3.612,Amare Thomas,TXHO,1,3,3,12,08:43,1,20,WR,UAB,Houston
6322521,28747,-0.923,Tanner Koziol,TXHO,1,3,3,9,06:22,1,3,TE,Wisconsin,Houston
6322754,28747,-1.308,Amare Thomas,TXHO,1,3,3,9,01:30,0,0,WR,UAB,Houston
6323393,28747,-0.687,Luke McGary,TXHO,1,1,4,10,06:05,0,0,TE,Tulsa,Houston
6320255,28749,1.625,Javon Tracy,MNUN,1,1,2,10,11:03,1,27,WR,Miami (OH),Minnesota
6320598,28749,-1.124,Javon Tracy,MNUN,1,2,2,17,06:34,0,0,WR,Miami (OH),Minnesota
6321171,28749,0.812,Logan Loya,MNUN,1,1,2,10,01:17,1,8,WR,UCLA,Minnesota
6321199,28749,-0.778,Javon Tracy,MNUN,1,1,2,10,00:49,0,0,WR,Miami (OH),Minnesota
6321348,28749,1.105,Javon Tracy,MNUN,1,2,2,10,00:25,1,9,WR,Miami (OH),Minnesota
6322196,28749,2.103,Javon Tracy,MNUN,1,1,3,10,14:57,1,35,WR,Miami (OH),Minnesota
6322200,28749,0.345,Logan Loya,MNUN,1,1,3,10,14:22,1,10,WR,UCLA,Minnesota
6322773,28749,1.186,Drew Biber,MNUN,1,1,3,10,06:48,1,9,TE,Purdue,Minnesota
6317941,28750,1.816,Kevin Coleman Jr.,MOUN,1,3,1,3,05:45,1,5,WR,Mississippi State,Missouri
6318093,28750,1.122,Kevin Coleman Jr.,MOUN,1,1,1,10,04:29,1,20,WR,Mississippi State,Missouri
6318097,28750,-0.637,Kevin Coleman Jr.,MOUN,1,1,1,10,04:05,1,0,WR,Mississippi State,Missouri
6318507,28750,1.676,Kevin Coleman Jr.,MOUN,1,3,2,3,15:00,1,6,WR,Mississippi State,Missouri
6318958,28750,-1.607,Kevin Coleman Jr.,MOUN,1,3,2,17,09:43,0,0,WR,Mississippi State,Missouri
6319091,28750,-0.313,Kevin Coleman Jr.,MOUN,1,1,2,10,07:41,1,2,WR,Mississippi State,Missouri
6321030,28750,1.18,Kevin Coleman Jr.,MOUN,1,2,3,5,11:59,1,15,WR,Mississippi State,Missouri
6317285,28752,2.263,Christian Fitzpatrick,OKST,1,3,1,5,14:04,0,0,WR,Marshall,Oklahoma State
6317306,28752,1.52,Terrill Davis,OKST,1,1,1,10,13:58,1,34,WR,Central Oklahoma,Oklahoma State
6317343,28752,-0.367,Christian Fitzpatrick,OKST,1,1,1,10,13:44,1,1,WR,Marshall,Oklahoma State
6317375,28752,-0.487,Terrill Davis,OKST,1,1,1,8,12:07,0,0,WR,Central Oklahoma,Oklahoma State
6317954,28752,2.729,Shamar Rigby,OKST,1,1,1,10,06:59,1,41,WR,Purdue,Oklahoma State
6318005,28752,-0.647,Cam Abshire,OKST,1,2,1,6,05:52,0,0,WR,Emory & Henry College,Oklahoma State
6318352,28752,-0.979,Terrill Davis,OKST,1,1,1,10,02:10,0,0,WR,Central Oklahoma,Oklahoma State
6318384,28752,-0.561,Terrill Davis,OKST,1,3,1,10,01:58,0,0,WR,Central Oklahoma,Oklahoma State
6318731,28752,-0.569,Sam Jackson V,OKST,1,3,2,11,13:42,1,8,WR,Auburn,Oklahoma State
6319473,28752,-0.607,Cam Abshire,OKST,1,1,2,10,04:36,1,0,WR,Emory & Henry College,Oklahoma State
6319492,28752,0.74,Cam Abshire,OKST,1,2,2,10,04:06,1,8,WR,Emory & Henry College,Oklahoma State
6319495,28752,0.413,Shamar Rigby,OKST,1,3,2,2,03:49,1,9,WR,Purdue,Oklahoma State
6321356,28752,3.897,Terrill Davis,OKST,1,3,3,8,07:36,1,41,WR,Central Oklahoma,Oklahoma State
6322050,28752,-0.97,Christian Fitzpatrick,OKST,1,1,4,10,14:07,0,0,WR,Marshall,Oklahoma State
6322226,28752,-1.11,Terrill Davis,OKST,1,2,4,20,12:05,0,0,WR,Central Oklahoma,Oklahoma State
6322240,28752,-0.555,Sam Jackson V,OKST,1,3,4,20,11:58,0,0,WR,Auburn,Oklahoma State
6322463,28752,0.287,Sam Jackson V,OKST,1,1,4,10,09:37,1,6,WR,Auburn,Oklahoma State
6322545,28752,1.278,Will Monney,OKST,1,3,4,5,07:47,1,9,TE,Utah State,Oklahoma State
6316053,28753,-0.748,DT Sheffield,NJRU,1,1,1,10,13:15,0,0,WR,North Texas,Rutgers
6316086,28753,2.794,DT Sheffield,NJRU,1,4,1,3,11:42,1,10,WR,North Texas,Rutgers
6316096,28753,0.352,DT Sheffield,NJRU,1,1,1,10,11:13,1,11,WR,North Texas,Rutgers
6316440,28753,3.76,DT Sheffield,NJRU,1,1,2,10,13:59,1,54,WR,North Texas,Rutgers
6319658,28753,-1.531,DT Sheffield,NJRU,1,3,4,7,11:17,0,0,WR,North Texas,Rutgers
6319945,28753,0.497,Colin Weber,NJRU,1,1,4,10,05:28,1,7,TE,Charlotte,Rutgers
6320242,28753,2.696,DT Sheffield,NJRU,1,4,4,7,01:54,1,10,WR,North Texas,Rutgers
6321028,28758,0.994,Jayden Ballard,WIUN,1,1,1,10,08:55,1,11,WR,Ohio State,Wisconsin
6321294,28758,-0.719,Lance Mason,WIUN,1,2,1,7,01:53,0,0,TE,Missouri State,Wisconsin
6321815,28758,0.917,Jayden Ballard,WIUN,1,1,2,10,12:26,1,11,WR,Ohio State,Wisconsin
6323840,28758,-0.449,Jayden Ballard,WIUN,1,2,3,20,00:22,1,5,WR,Ohio State,Wisconsin
6320415,28760,-0.936,Caleb Goodie,OHCI,1,1,1,10,14:57,0,0,WR,Colorado State,Cincinnati
6320477,28760,-1.014,Cyrus Allen,OHCI,1,3,1,4,12:58,1,9,WR,Texas A&M,Cincinnati
6320487,28760,-1.646,Cyrus Allen,OHCI,1,3,1,9,12:45,1,-3,WR,Texas A&M,Cincinnati
6320995,28760,-0.226,Cyrus Allen,OHCI,1,2,1,1,07:18,1,10,WR,Texas A&M,Cincinnati
6321027,28760,0.336,Patrick Gurd,OHCI,1,1,1,10,06:47,1,6,TE,Ohio State,Cincinnati
6321363,28760,0.62,Nyziah Hunter,NEUN,1,1,1,10,04:15,1,7,WR,California,Nebraska
6321409,28760,2.361,Dane Key,NEUN,1,3,1,5,03:12,1,11,WR,Kentucky,Nebraska
6321440,28760,1.773,Dane Key,NEUN,1,3,1,5,01:24,1,9,WR,Kentucky,Nebraska
6321466,28760,-0.93,Nyziah Hunter,NEUN,1,2,1,9,00:07,0,0,WR,California,Nebraska
6321728,28760,-1.138,Jeff Caldwell,OHCI,1,2,2,9,14:21,0,0,WR,Lindenwood,Cincinnati
6321979,28760,1.621,Nyziah Hunter,NEUN,1,1,2,10,10:49,1,24,WR,California,Nebraska
6322172,28760,-0.593,Nyziah Hunter,NEUN,1,2,2,4,05:50,0,0,WR,California,Nebraska
6323021,28760,-5.053,Caleb Goodie,OHCI,1,1,2,10,01:09,1,1,WR,Colorado State,Cincinnati
6323024,28760,0.641,Nyziah Hunter,NEUN,1,1,2,10,01:03,1,15,WR,California,Nebraska
6323029,28760,2.395,Nyziah Hunter,NEUN,1,2,2,5,00:16,1,5,WR,California,Nebraska
6323498,28760,-0.222,Dane Key,NEUN,1,1,3,10,15:00,1,4,WR,Kentucky,Nebraska
6323537,28760,2.305,Dane Key,NEUN,1,2,3,12,12:59,1,15,WR,Kentucky,Nebraska
6323679,28760,-0.789,Jeff Caldwell,OHCI,1,2,3,2,08:54,0,0,WR,Lindenwood,Cincinnati
6324010,28760,0.404,Nyziah Hunter,NEUN,1,1,4,10,15:00,1,6,WR,California,Nebraska
6324061,28758,-0.955,Lance Mason,WIUN,1,2,4,18,08:48,0,0,TE,Missouri State,Wisconsin
6324063,28758,-1.123,Jayden Ballard,WIUN,1,3,4,18,08:44,0,0,WR,Ohio State,Wisconsin
6324104,28760,3.078,Dane Key,NEUN,1,4,4,2,10:40,1,3,WR,Kentucky,Nebraska
6324186,28760,0.195,Jeff Caldwell,OHCI,1,1,4,10,09:08,1,5,WR,Lindenwood,Cincinnati
6324190,28760,-0.587,Cyrus Allen,OHCI,1,2,4,5,08:34,0,0,WR,Texas A&M,Cincinnati
6324283,28760,0.723,Dane Key,NEUN,1,2,4,2,06:30,1,9,WR,Kentucky,Nebraska
6324286,28760,0.968,Nyziah Hunter,NEUN,1,1,4,10,05:51,1,8,WR,California,Nebraska
6324389,28760,1.26,Cyrus Allen,OHCI,1,2,4,2,02:00,1,14,WR,Texas A&M,Cincinnati
6324397,28760,0.614,Cyrus Allen,OHCI,1,2,4,10,01:47,1,8,WR,Texas A&M,Cincinnati
6324404,28760,-2.08,Cyrus Allen,OHCI,1,3,4,7,01:14,0,0,WR,Texas A&M,Cincinnati
6324419,28760,4.697,Cyrus Allen,OHCI,1,4,4,7,01:09,1,12,WR,Texas A&M,Cincinnati
6324432,28760,-0.918,Caleb Goodie,OHCI,1,2,4,2,00:59,0,0,WR,Colorado State,Cincinnati
6324438,28760,0.431,Cyrus Allen,OHCI,1,1,4,10,00:47,0,0,WR,Texas A&M,Cincinnati
6324449,28760,-4.135,Caleb Goodie,OHCI,1,1,4,10,00:41,0,0,WR,Colorado State,Cincinnati
6325921,28762,1.233,Kole Wilson,TXBA,1,2,1,11,13:11,1,10,WR,Texas State,Baylor
6326235,28762,3.6,Kole Wilson,TXBA,1,2,1,10,08:46,1,57,WR,Texas State,Baylor
6326469,28762,0.59,Preston Howard,ALAU,1,1,1,10,04:08,1,7,TE,Maryland,Auburn
6326681,28762,0.968,Horatio Fields,ALAU,1,1,2,10,14:14,1,8,WR,Wake Forest,Auburn
6326895,28762,-1.911,Louis Brown IV,TXBA,1,3,2,3,08:55,0,0,WR,Colorado State,Baylor
6327167,28762,1.223,Kole Wilson,TXBA,1,1,2,10,05:45,1,16,WR,Texas State,Baylor
6327193,28762,0.821,Kole Wilson,TXBA,1,1,2,10,05:01,1,8,WR,Texas State,Baylor
6327201,28762,-0.262,Kole Wilson,TXBA,1,2,2,2,04:43,1,4,WR,Texas State,Baylor
6327257,28762,5.545,Kobe Prentice,TXBA,1,4,2,8,03:28,1,33,WR,Alabama,Baylor
6327581,28762,-0.887,Louis Brown IV,TXBA,1,1,2,10,00:38,0,0,WR,Colorado State,Baylor
6327655,28762,3.615,Louis Brown IV,TXBA,1,4,2,3,00:21,0,0,WR,Colorado State,Baylor
6327669,28762,-0.727,Kole Wilson,TXBA,1,1,2,10,00:14,0,0,WR,Texas State,Baylor
6327720,28762,0.0,Louis Brown IV,TXBA,1,3,2,10,00:04,1,18,WR,Colorado State,Baylor
6328257,28762,-2.556,Eric Singleton Jr.,ALAU,1,3,3,4,11:48,0,0,WR,Georgia Tech,Auburn
6328353,28762,-1.17,Kole Wilson,TXBA,1,2,3,9,10:12,0,0,WR,Texas State,Baylor
6328431,28762,1.44,Eric Singleton Jr.,ALAU,1,1,3,10,08:51,1,9,WR,Georgia Tech,Auburn
6328447,28762,0.42,Eric Singleton Jr.,ALAU,1,1,3,10,07:37,1,6,WR,Georgia Tech,Auburn
6328459,28762,0.243,Eric Singleton Jr.,ALAU,1,1,3,10,07:00,1,5,WR,Georgia Tech,Auburn
6328625,28762,0.195,Kobe Prentice,TXBA,1,2,3,9,01:54,1,5,WR,Alabama,Baylor
6328731,28762,-0.968,Kole Wilson,TXBA,1,1,3,10,00:37,0,0,WR,Texas State,Baylor
6328808,28762,1.331,Kole Wilson,TXBA,1,3,4,2,13:51,1,22,WR,Texas State,Baylor
6328865,28762,2.714,Horatio Fields,ALAU,1,3,4,8,10:35,1,9,WR,Wake Forest,Auburn
6329000,28762,-0.031,Kole Wilson,TXBA,1,2,4,10,04:25,1,6,WR,Texas State,Baylor
6329011,28762,0.689,Kole Wilson,TXBA,1,1,4,10,03:24,1,11,WR,Texas State,Baylor
6325315,28765,0.309,Emmanuel Henderson Jr.,KSUN,1,1,1,10,12:58,1,6,WR,Alabama,Kansas
6325321,28765,0.549,Levi Wentz,KSUN,1,1,1,10,12:19,1,7,WR,Albany,Kansas
6325324,28765,0.291,Emmanuel Henderson Jr.,KSUN,1,2,1,3,11:57,1,21,WR,Alabama,Kansas
6325609,28765,0.373,Levi Wentz,KSUN,1,2,1,6,06:00,1,5,WR,Albany,Kansas
6325619,28765,0.532,Levi Wentz,KSUN,1,1,1,10,04:57,1,11,WR,Albany,Kansas
6325623,28765,-0.889,Emmanuel Henderson Jr.,KSUN,1,1,1,10,04:25,1,4,WR,Alabama,Kansas
6325661,28765,1.545,Boden Groen,KSUN,1,1,1,16,04:01,1,27,TE,Rice,Kansas
6325669,28765,1.659,Emmanuel Henderson Jr.,KSUN,1,2,1,3,03:15,1,9,WR,Alabama,Kansas
6326006,28765,1.738,Emmanuel Henderson Jr.,KSUN,1,2,2,9,13:40,1,28,WR,Alabama,Kansas
6326040,28765,2.783,Cam Pickett,KSUN,1,2,2,10,13:11,1,20,WR,Ball State,Kansas
6326305,28765,-1.162,Emmanuel Henderson Jr.,KSUN,1,2,2,9,09:11,0,0,WR,Alabama,Kansas
6326465,28765,2.17,Boden Groen,KSUN,1,2,2,7,06:44,1,26,TE,Rice,Kansas
6326473,28765,0.513,Bryson Canty,KSUN,1,1,2,10,06:15,1,14,WR,Columbia,Kansas
6326722,28765,-0.145,Emmanuel Henderson Jr.,KSUN,1,1,2,5,01:25,0,0,WR,Alabama,Kansas
6326746,28765,1.105,Cam Pickett,KSUN,1,1,2,10,01:18,1,9,WR,Ball State,Kansas
6326782,28765,-0.46,Levi Wentz,KSUN,1,1,2,10,00:59,0,0,WR,Albany,Kansas
6326798,28765,1.104,Levi Wentz,KSUN,1,2,2,10,00:53,1,9,WR,Albany,Kansas
6326826,28765,-4.895,Cam Pickett,KSUN,1,1,2,9,00:41,0,0,WR,Ball State,Kansas
6327365,28765,4.295,Emmanuel Henderson Jr.,KSUN,1,1,3,10,14:21,1,62,WR,Alabama,Kansas
6327540,28765,-0.943,Levi Wentz,KSUN,1,2,3,1,10:29,0,0,WR,Albany,Kansas
6327843,28765,-1.224,Bryson Canty,KSUN,1,2,3,4,04:29,0,0,WR,Columbia,Kansas
6327981,28765,1.733,Bryson Canty,KSUN,1,1,3,10,00:50,1,28,WR,Columbia,Kansas
6325000,28767,-0.921,Chris Barnes,NCWF,1,2,1,8,14:08,1,4,WR,Washington State,Wake Forest
6325003,28767,-0.366,Carlos Hernandez,NCWF,1,2,1,14,13:47,1,5,WR,Washington State,Wake Forest
6325016,28767,0.761,Chris Barnes,NCWF,1,1,1,10,11:58,1,15,WR,Washington State,Wake Forest
6325033,28767,0.553,Sterling Berkhalter,NCWF,1,1,1,10,09:41,1,7,WR,Cincinnati,Wake Forest
6325036,28767,0.295,Eni Falayi,NCWF,1,2,1,3,09:09,1,12,TE,Utah Tech,Wake Forest
6325226,28767,-0.91,Carlos Hernandez,NCWF,1,1,1,10,04:32,0,0,WR,Washington State,Wake Forest
6325372,28767,-1.053,Chris Barnes,NCWF,1,2,2,12,14:34,0,0,WR,Washington State,Wake Forest
6325753,28767,-0.077,Carlos Hernandez,NCWF,1,1,2,5,07:31,1,11,WR,Washington State,Wake Forest
6326025,28767,2.262,Sterling Berkhalter,NCWF,1,3,2,4,03:05,1,9,WR,Cincinnati,Wake Forest
6326045,28767,1.159,Eni Falayi,NCWF,1,1,2,10,02:35,1,18,TE,Utah Tech,Wake Forest
6326188,28767,0.846,Kamrean Johnson,NCWF,1,3,2,11,01:16,0,0,TE,Vanderbilt,Wake Forest
6326347,28767,-0.845,Carlos Hernandez,NCWF,1,1,2,10,00:19,0,0,WR,Washington State,Wake Forest
6326359,28767,1.897,Sterling Berkhalter,NCWF,1,2,2,10,00:14,1,18,WR,Cincinnati,Wake Forest
6326383,28767,-3.255,Eni Falayi,NCWF,1,1,2,10,00:07,1,5,TE,Utah Tech,Wake Forest
6327100,28767,-0.738,Carlos Hernandez,NCWF,1,1,3,10,08:37,0,0,WR,Washington State,Wake Forest
6327307,28767,2.372,Karate Brenson,NCWF,1,1,3,10,05:37,1,41,WR,Tennessee State,Wake Forest
6327677,28767,-0.167,Carlos Hernandez,NCWF,1,1,4,10,11:53,1,4,WR,Washington State,Wake Forest
6327755,28767,1.64,Eni Falayi,NCWF,1,2,4,10,10:35,1,17,TE,Utah Tech,Wake Forest
6328043,28767,-0.267,Chris Barnes,NCWF,1,1,4,10,06:42,1,4,WR,Washington State,Wake Forest
6328137,28767,-1.298,Chris Barnes,NCWF,1,2,4,7,02:35,1,15,WR,Washington State,Wake Forest
6326107,28768,-1.505,Sincere Brown,COUN,1,3,1,10,10:13,0,0,WR,Campbell,Colorado
6326998,28768,0.827,Eric Rivers,GATC,1,2,2,9,06:33,1,10,WR,Florida International,Georgia Tech
6327397,28768,-0.931,Eric Rivers,GATC,1,1,2,10,00:55,0,0,WR,Florida International,Georgia Tech
6327447,28768,-0.543,Eric Rivers,GATC,1,1,2,10,00:34,1,1,WR,Florida International,Georgia Tech
6327979,28768,-1.622,Sincere Brown,COUN,1,3,3,2,13:08,0,0,WR,Campbell,Colorado
6328566,28768,1.184,Hykeem Williams,COUN,1,2,4,8,14:23,1,9,WR,Florida State,Colorado
6328627,28768,0.796,Zach Atkins,COUN,1,1,4,10,12:20,1,8,TE,Northwest Missouri St,Colorado
6328705,28768,0.708,Zach Atkins,COUN,1,2,4,10,10:09,1,10,TE,Northwest Missouri St,Colorado
6328871,28768,0.894,Joseph Williams,COUN,1,2,4,2,04:39,1,10,WR,Tulsa,Colorado
6328875,28768,-0.93,Joseph Williams,COUN,1,1,4,10,04:05,0,0,WR,Tulsa,Colorado
6328975,28768,1.332,Hykeem Williams,COUN,1,2,4,13,00:45,1,11,WR,Florida State,Colorado
6325511,28779,-0.107,Justin Bowick,ILUN,1,2,1,2,08:41,0,0,WR,Ball State,Illinois
6325877,28779,1.987,Justin Bowick,ILUN,1,3,1,3,03:52,1,3,WR,Ball State,Illinois
6326111,28779,-0.646,Justin Bowick,ILUN,1,1,1,10,01:28,0,0,WR,Ball State,Illinois
6326568,28779,-0.453,Hudson Clement,ILUN,1,1,2,10,09:29,0,0,WR,West Virginia,Illinois
6326809,28779,-2.06,Justin Bowick,ILUN,1,1,2,4,04:01,0,0,WR,Ball State,Illinois
6326860,28779,2.792,Justin Bowick,ILUN,1,2,2,13,03:15,1,13,WR,Ball State,Illinois
6327699,28779,0.088,Hudson Clement,ILUN,1,2,3,10,11:08,1,5,WR,West Virginia,Illinois
6328385,28779,0.547,Justin Bowick,ILUN,1,1,4,10,13:35,1,7,WR,Ball State,Illinois
6330453,28786,-1.982,Hardley Gilmore IV,KYUN,1,2,1,5,11:57,1,-5,WR,Nebraska,Kentucky
6330472,28786,-1.382,Javian Hester,KYUN,1,3,1,10,11:18,0,0,WR,Oklahoma,Kentucky
6330729,28786,-0.646,Hardley Gilmore IV,KYUN,1,2,1,9,08:08,0,0,WR,Nebraska,Kentucky
6331133,28786,-4.697,Troy Stellato,KYUN,1,3,1,3,02:48,0,0,WR,Clemson,Kentucky
6329701,28791,2.202,Dorian Fleming,MDUN,1,2,1,8,10:24,1,15,TE,Georgia State,Maryland
6329716,28791,-1.158,Jalil Farooq,MDUN,1,2,1,10,09:58,0,0,WR,Oklahoma,Maryland
6329724,28791,-0.718,Jalil Farooq,MDUN,1,3,1,10,09:56,0,0,WR,Oklahoma,Maryland
6329959,28791,-1.441,Dorian Fleming,MDUN,1,2,1,10,08:07,1,-2,TE,Georgia State,Maryland
6329976,28791,-0.681,Dorian Fleming,MDUN,1,3,1,12,07:34,1,6,TE,Georgia State,Maryland
6330290,28791,-0.965,Kaleb Webb,MDUN,1,3,1,6,04:11,0,0,WR,Tennessee,Maryland
6331068,28791,-1.753,Dorian Fleming,MDUN,1,3,2,9,11:30,0,0,TE,Georgia State,Maryland
6331149,28791,0.873,Jalil Farooq,MDUN,1,2,2,7,10:14,1,9,WR,Oklahoma,Maryland
6331161,28791,0.506,Jalil Farooq,MDUN,1,2,2,6,09:24,1,9,WR,Oklahoma,Maryland
6331172,28791,-0.259,Jalil Farooq,MDUN,1,1,2,15,08:35,1,1,WR,Oklahoma,Maryland
6331319,28791,0.562,Dorian Fleming,MDUN,1,3,2,1,05:19,1,6,TE,Georgia State,Maryland
6331323,28791,-0.666,Jalil Farooq,MDUN,1,1,2,10,04:40,0,0,WR,Oklahoma,Maryland
6331373,28791,2.577,Kaleb Webb,MDUN,1,1,2,10,03:22,1,29,WR,Tennessee,Maryland
6324949,28795,0.715,Omari Kelly,MIST,1,2,1,4,10:36,1,6,WR,Middle Tennessee,Michigan State
6325281,28795,1.085,Omari Kelly,MIST,1,1,1,10,01:42,1,14,WR,Middle Tennessee,Michigan State
6325305,28795,0.999,Omari Kelly,MIST,1,3,1,2,00:05,0,0,WR,Middle Tennessee,Michigan State
6325375,28795,0.585,Omari Kelly,MIST,1,2,2,15,14:22,1,10,WR,Middle Tennessee,Michigan State
6325394,28795,2.987,Omari Kelly,MIST,1,4,2,4,12:57,1,10,WR,Middle Tennessee,Michigan State
6325639,28795,0.95,Omari Kelly,MIST,1,1,2,10,08:45,1,14,WR,Middle Tennessee,Michigan State
6325930,28795,-0.677,Omari Kelly,MIST,1,1,2,10,02:54,0,0,WR,Middle Tennessee,Michigan State
